primitive,metric,value,unit
F30,type,forward,
F30,n,30,count
F30,local_delta_mu_x,0.30180876562259795,m
F30,local_delta_mu_y,-0.0018510836293532322,m
F30,local_delta_sigma_xx,7.179226197269747e-07,m^2
F30,local_delta_sigma_xy,-5.5947776174444305e-08,m^2
F30,local_delta_sigma_yy,3.1317874087443237e-06,m^2
F30,local_delta_std_x,0.0008473031451180709,m
F30,local_delta_std_y,0.0017696856807762004,m
F30,yaw_delta_mean,0.32440526225406074,deg
F30,yaw_delta_std,0.38316458806217657,deg
CW90,type,rotation,
CW90,n,15,count
CW90,local_delta_mu_x,-0.007366634803841582,m
CW90,local_delta_mu_y,0.010083528308363605,m
CW90,local_delta_sigma_xx,3.5241765079737244e-07,m^2
CW90,local_delta_sigma_xy,5.642075010187376e-08,m^2
CW90,local_delta_sigma_yy,3.2218840769504e-07,m^2
CW90,local_delta_std_x,0.0005936477497619042,m
CW90,local_delta_std_y,0.0005676164265549756,m
CW90,yaw_delta_mean,-84.98408628670491,deg
CW90,yaw_delta_std,1.965297522259092,deg
CCW90,type,rotation,
CCW90,n,15,count
CCW90,local_delta_mu_x,-0.008102058451828091,m
CCW90,local_delta_mu_y,-0.009125492389202634,m
CCW90,local_delta_sigma_xx,1.2504054141861093e-06,m^2
CCW90,local_delta_sigma_xy,4.846209646595641e-08,m^2
CCW90,local_delta_sigma_yy,4.616349762771502e-07,m^2
CCW90,local_delta_std_x,0.0011182152807872505,m
CCW90,local_delta_std_y,0.0006794372496979763,m
CCW90,yaw_delta_mean,84.57072010658362,deg
CCW90,yaw_delta_std,2.3478900184680844,deg
F50,type,forward,
F50,n,15,count
F50,local_delta_mu_x,0.501315666500372,m
F50,local_delta_mu_y,-0.0017316381876066632,m
F50,local_delta_sigma_xx,7.925101789662691e-07,m^2
F50,local_delta_sigma_xy,9.883052467115565e-07,m^2
F50,local_delta_sigma_yy,9.949865901461618e-06,m^2
F50,local_delta_std_x,0.0008902304077969193,m
F50,local_delta_std_y,0.003154340802998563,m
F50,yaw_delta_mean,0.7989625627586179,deg
F50,yaw_delta_std,0.4094115411765025,deg
CCW45,type,rotation,
CCW45,n,15,count
CCW45,local_delta_mu_x,-0.0024378697466522,m
CCW45,local_delta_mu_y,-0.005727724518021114,m
CCW45,local_delta_sigma_xx,2.435731242347798e-07,m^2
CCW45,local_delta_sigma_xy,-1.1565820617762227e-07,m^2
CCW45,local_delta_sigma_yy,2.3840331578428797e-07,m^2
CCW45,local_delta_std_x,0.0004935312798949828,m
CCW45,local_delta_std_y,0.00048826562011295446,m
CCW45,yaw_delta_mean,43.216076370707896,deg
CCW45,yaw_delta_std,0.3974347133285016,deg
CW45,type,rotation,
CW45,n,15,count
CW45,local_delta_mu_x,-0.0016876141283244804,m
CW45,local_delta_mu_y,0.006494509918602592,m
CW45,local_delta_sigma_xx,3.173770491082544e-07,m^2
CW45,local_delta_sigma_xy,1.219763331892874e-07,m^2
CW45,local_delta_sigma_yy,1.4698766987620927e-07,m^2
CW45,local_delta_std_x,0.0005633622716407751,m
CW45,local_delta_std_y,0.00038338971018561424,m
CW45,yaw_delta_mean,-42.98716171102234,deg
CW45,yaw_delta_std,0.28060305517113737,deg
CCW180,type,rotation,
CCW180,n,15,count
CCW180,local_delta_mu_x,-0.018844122288361954,m
CCW180,local_delta_mu_y,-0.0007653130989677064,m
CCW180,local_delta_sigma_xx,2.2917065735505912e-07,m^2
CCW180,local_delta_sigma_xy,1.21481826071241e-07,m^2
CCW180,local_delta_sigma_yy,2.6101331601141874e-07,m^2
CCW180,local_delta_std_x,0.0004787177219981094,m
CCW180,local_delta_std_y,0.0005108946231968181,m
CCW180,yaw_delta_mean,175.11079706630238,deg
CCW180,yaw_delta_std,0.4453230286085407,deg
